Chlorophyll Analyses,,,,,,
,,Units Required,ug/L,,,
,,,,,,
Customer and Data Recipient,Wendi Ruef,,,,,
Email,wruef@uw.edu,,,,,
Office,206-221-6760,,,,,
,,,,,,
Worktage,GR023225,Budget Contact,Laurie Bryan,,,
PI,D. Kelley,,lbryan@ocean.washington.edu,,,
,,,Office: 206-542-5279,,,
Total Samples,,,,,,
,,,,,,
,,,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number,Volume Filtered (L),Extraction Volume (L)
Oregon Offshore Shallow Profiler,TN422_CTD-001,5,180,1100,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,7,160,1101,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,9,140,1102,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,13,100,1103,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,15,80,1104,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,19,40,1105,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,21,20,1106,500,10
Oregon Offshore Shallow Profiler,TN422_CTD-001,23,10,1107,500,10
Slope Base Shallow Profiler,TN422_CTD-002,10,180,1108,500,10
Slope Base Shallow Profiler,TN422_CTD-002,11,160,1109,500,10
Slope Base Shallow Profiler,TN422_CTD-002,13,140,1110,500,10
Slope Base Shallow Profiler,TN422_CTD-002,15,100,1111,500,10
Slope Base Shallow Profiler,TN422_CTD-002,18,60,1112,500,10
Slope Base Shallow Profiler,TN422_CTD-002,20,40,1113,500,10
Slope Base Shallow Profiler,TN422_CTD-002,22,20,1114,500,10
Slope Base Shallow Profiler,TN422_CTD-002,24,10,1115,500,10
Slope Base Junction Box LJ01A,TN422_J2-1523,Aft Starboard,2901,1116,500,10
Oregon Shelf BEP,TN422_J2-1528,Forward Port,80,1117,500,10
Axial Base Shallow Profiler,TN422_CTD-003,5,180,1122,500,10
Axial Base Shallow Profiler,TN422_CTD-003,7,160,1118,500,10
Axial Base Shallow Profiler,TN422_CTD-003,9,140,1119,500,10
Axial Base Shallow Profiler,TN422_CTD-003,13,100,1124,500,10
Axial Base Shallow Profiler,TN422_CTD-003,15,80,1123,500,10
Axial Base Shallow Profiler,TN422_CTD-003,19,40,1120,500,10
Axial Base Shallow Profiler,TN422_CTD-003,21,20,1121,500,10
Axial Base Shallow Profiler,TN422_CTD-003,23,10,1125,500,10
Axial Base Deep Profiler,TN422_CTD-004,1,2600,1128,500,10
Axial Base Deep Profiler,TN422_CTD-004,7,2000,1129,475,10
Axial Base Deep Profiler,TN422_CTD-004,11,1000,1130,500,10
Axial Base Deep Profiler,TN422_CTD-004,15,250,1126,410,10
Axial Base Deep Profiler,TN422_CTD-004,21,30,1127,500,10
Axial Base Deep Profiler,TN422_CTD-004,23,10,1131,470,10
Oregon Offshore Deep Profiler,TN422_CTD-005,3,550,1137,500,10
Oregon Offshore Deep Profiler,TN422_CTD-005,7,450,1132,500,10
Oregon Offshore Deep Profiler,TN422_CTD-005,11,350,1135,500,10
Oregon Offshore Deep Profiler,TN422_CTD-005,15,300,1136,500,10
Oregon Offshore Deep Profiler,TN422_CTD-005,19,250,1134,500,10
Oregon Offshore Deep Profiler,TN422_CTD-005,21,225,1133,500,10
Oregon Offshore Deep Profiler,TN422_CTD-006,3,525,1142,500,10
Oregon Offshore Deep Profiler,TN422_CTD-006,7,450,1139,500,10
Oregon Offshore Deep Profiler,TN422_CTD-006,11,350,1143,500,10
Oregon Offshore Deep Profiler,TN422_CTD-006,15,300,1141,500,10
Oregon Offshore Deep Profiler,TN422_CTD-006,19,250,1140,500,10
Oregon Offshore Deep Profiler,TN422_CTD-006,23,200,1138,500,10
Slope Base Deep Profiler,TN422_CTD-007,3,2750,1145,500,10
Slope Base Deep Profiler,TN422_CTD-007,7,2000,1147,500,10
Slope Base Deep Profiler,TN422_CTD-007,11,1500,1144,500,10
Slope Base Deep Profiler,TN422_CTD-007,15,1000,1148,500,10
Slope Base Deep Profiler,TN422_CTD-007,19,500,1146,500,10
Slope Base Deep Profiler,TN422_CTD-007,23,200,1149,500,10
Axial Base Deep Profiler,TN422_CTD-008,1,2590,1155,500,10
Axial Base Deep Profiler,TN422_CTD-008,5,2250,1154,500,10
Axial Base Deep Profiler,TN422_CTD-008,9,1750,1150,500,10
Axial Base Deep Profiler,TN422_CTD-008,13,1250,1151,500,10
Axial Base Deep Profiler,TN422_CTD-008,17,750,1153,500,10
Axial Base Deep Profiler,TN422_CTD-008,23,200,1152,500,10
Axial Base Junction Box LJ03A,TN422_J2-1554,Aft Port,2607,1156,500,10
Oregon Offshore Deep Profiler,TN422-CTD-009,3,525,1157,500,10
Oregon Offshore Deep Profiler,TN422-CTD-009,7,450,1158,500,10
Oregon Offshore Deep Profiler,TN422-CTD-009,11,350,1159,500,10
Oregon Offshore Deep Profiler,TN422-CTD-009,15,300,5053,500,10
Oregon Offshore Deep Profiler,TN422-CTD-009,19,250,5054,500,10
Oregon Offshore Deep Profiler,TN422-CTD-009,21,225,5055,500,10
