Salinity Analyses,,,,
,,Units Required,salinity,
,,,,
Customer and Data Recipient,Wendi Ruef,,,
Email,wruef@uw.edu,,,
Office,206-221-6760,,,
,,,,
Worktage,GR023225,Budget Contact,Laurie Bryan,
PI,D. Kelley,,lbryan@ocean.washington.edu,
,,,Office: 206-542-5279,
Total Samples,,,,
,,,,
,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number
Oregon Offshore Shallow Profiler,TN422_CTD-001,5,180,SA-217
Oregon Offshore Shallow Profiler,TN422_CTD-001,9,140,SA-218
Oregon Offshore Shallow Profiler,TN422_CTD-001,13,100,SA-219
Oregon Offshore Shallow Profiler,TN422_CTD-001,19,40,SA-220
Oregon Offshore Shallow Profiler,TN422_CTD-001,23,10,SA-221
Slope Base Shallow Profiler,TN422_CTD-002,7,220,SA-222
Slope Base Shallow Profiler,TN422_CTD-002,11,160,SA-228
Slope Base Shallow Profiler,TN422_CTD-002,15,100,SA-227
Slope Base Shallow Profiler,TN422_CTD-002,20,40,SA-226
Slope Base Shallow Profiler,TN422_CTD-002,24,10,SA-234
Slope Base Junction Box LJ01A,TN422_J2-1523,Aft Starboard,2901,SA-225
Oregon Shelf BEP,TN422_J2-1528,Forward Port,80,SA-224
Axial Base Shallow Profiler,TN422_CTD-003,5,180,SA-223
Axial Base Shallow Profiler,TN422_CTD-003,9,140,SA-229
Axial Base Shallow Profiler,TN422_CTD-003,13,100,SA-230
Axial Base Shallow Profiler,TN422_CTD-003,19,40,SA-231
Axial Base Shallow Profiler,TN422_CTD-003,23,10,SA-232
Southern Hydrate Ridge,TN422_J2-1538,Forward Port,770,SA-235
Oregon Offshore BEP,TN422_J2-1541,Forward Port,596,SA-236
Axial Base Deep Profiler,TN422_CTD-004,1,2600,SA-239
Axial Base Deep Profiler,TN422_CTD-004,7,2000,SA-233
Axial Base Deep Profiler,TN422_CTD-004,13,500,SA-237
Axial Base Deep Profiler,TN422_CTD-004,17,100,SA-238
Axial Base Deep Profiler,TN422_CTD-004,23,10,SA-240
Axial ASHS Vent Field,TN422_J2-1547,Forward Starboard,1540,SA-457
Oregon Offshore Deep Profiler,TN422_CTD-005,3,550,SA-458
Oregon Offshore Deep Profiler,TN422_CTD-005,7,450,SA-459
Oregon Offshore Deep Profiler,TN422_CTD-005,11,350,SA-460
Oregon Offshore Deep Profiler,TN422_CTD-005,15,300,SA-461
Oregon Offshore Deep Profiler,TN422_CTD-005,21,225,SA-462
Oregon Offshore Deep Profiler,TN422_CTD-006,2,560,SA-468
Oregon Offshore Deep Profiler,TN422_CTD-006,5,500,SA-467
Oregon Offshore Deep Profiler,TN422_CTD-006,9,400,SA-466
Oregon Offshore Deep Profiler,TN422_CTD-006,15,300,SA-465
Oregon Offshore Deep Profiler,TN422_CTD-006,19,250,SA-464
Slope Base Deep Profiler,TN422_CTD-007,1,2890,SA-463
Slope Base Deep Profiler,TN422_CTD-007,7,2000,SA-469
Slope Base Deep Profiler,TN422_CTD-007,15,1000,SA-470
Slope Base Deep Profiler,TN422_CTD-007,19,500,SA-471
Slope Base Deep Profiler,TN422_CTD-007,23,200,SA-472
Axial Base Deep Profiler,TN422_CTD-008,1,2590,SA-473
Axial Base Deep Profiler,TN422_CTD-008,5,2250,SA-474
Axial Base Deep Profiler,TN422_CTD-008,9,1750,SA-475
Axial Base Deep Profiler,TN422_CTD-008,17,750,SA-476
Axial Base Deep Profiler,TN422_CTD-008,23,200,SA-477
Axial Base Junction Box LJ03A,TN422_J2-1554,Aft Port,2607,SA-478
Axial Central Caldera,TN422_J2-1555,Forward Starboard,1523,SA-479
Oregon Offshore Deep Profiler,TN422-CTD-009,3,525,SA-480
Oregon Offshore Deep Profiler,TN422-CTD-009,7,450,SAL-127
Oregon Offshore Deep Profiler,TN422-CTD-009,11,350,SAL-128
Oregon Offshore Deep Profiler,TN422-CTD-009,15,300,SAL-129
Oregon Offshore Deep Profiler,TN422-CTD-009,21,225,SAL-130
Axial Eastern Caldera,TN422_J2-1560,Aft Port,1518,SAL-131
