DIC Analysis for pCO2 and TCO2,,,,,,
,,,,,,
,,,,,,
Customer and Data Recipient,Orest Kawka,,,,,
Email,kawkaoe@uw.edu,,,,,
Office,206-221-6411,,,,,
,,,,,,
Budget,63-2089,Budget Contact,Laurie Bryan,,,
PI,D. Kelley,,lbryan@ocean.washington.edu,,,
,,,Office: 206-542-5279,,,
Total Samples,,,,,,
,,,,,,
,,,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number,In-Situ Temperature (avg),In-Situ Salinity (avg)
,,,,,,
Axial Base Shallow Profiler,2204_ctd_dive_export.csv,Forward Port,198,DIC-152,7.4714,33.9743
,,,,,,
Axial Base Shallow Profiler,TN407_CTD-001,1,220,DIC-156,6.7157,33.8575
Axial Base Shallow Profiler,TN407_CTD-001,3,200,DIC-160,6.9436,33.8138
Axial Base Shallow Profiler,TN407_CTD-001,5,180,DIC-164,7.1517,33.7741
Axial Base Shallow Profiler,TN407_CTD-001,7,160,DIC-168,7.3872,33.6946
Axial Base Shallow Profiler,TN407_CTD-001,10,140,DIC-167,7.631,33.3999
Axial Base Shallow Profiler,TN407_CTD-001,11,120,DIC-172,7.6613,33.0073
Axial Base Shallow Profiler,TN407_CTD-001,13,100,DIC-151,7.7736,32.6314
Axial Base Shallow Profiler,TN407_CTD-001,15,80,DIC-155,8.5062,32.3502
Axial Base Shallow Profiler,TN407_CTD-001,17,60,DIC-159,9.7133,32.2979
Axial Base Shallow Profiler,TN407_CTD-001,19,40,DIC-163,11.5465,32.2449
Axial Base Shallow Profiler,TN407_CTD-001,22,20,DIC-171,16.4031,32.2518
Axial Base Shallow Profiler,TN407_CTD-001,23,10,DIC-150,16.4235,32.2498
,,,,,,
Oregon Shelf BEP,2218_ctd_dive_export.csv,Forward Port,80,DIC-170,7.6925,33.8572
,,,,,,
Oregon Offshore BEP,2220_ctd_dive_export.csv,Aft Port,600,DIC-169,5.1041,34.1729
,,,,,,
Slope Base Shallow Profiler,TN407_CTD-003,15,250,DIC-158,6.9032,33.997
Slope Base Shallow Profiler,TN407_CTD-003,17,100,DIC-166,8.1589,33.7885
Slope Base Shallow Profiler,TN407_CTD-003,19,50,DIC-154,8.5962,33.0305
Slope Base Shallow Profiler,TN407_CTD-003,22,30,DIC-165,10.2962,32.3181
Slope Base Shallow Profiler,TN407_CTD-003,23,10,DIC-157,17.706,31.3585
,,,,,,
Oregon Offshore Shallow Profiler,TN407_CTD-004,11,250,DIC-149,7.1632,34.024
